client,default_proba
293574,42.1
114746,19.62
138726,37.76
411681,26.18
342307,91.77
292351,26.61
407101,52.24
261801,21.12
455624,39.86
209843,75.6
436539,51.78
245695,71.82
256712,86.96
443238,34.53
233381,13.84
340729,29.53
255945,16.63
398801,26.39
118033,30.49
261208,55.18
198485,31.25
428117,50.91
452827,35.6
192064,18.27
110272,63.41
281330,64.97
155630,49.98
188625,32.41
172941,10.23
110388,75.29
175131,27.42
289156,75.89
275435,21.66
170086,9.99
276224,40.13
424382,18.46
248296,50.35
290542,19.99
371430,20.01
311858,37.16
357911,26.83
256864,46.85
428062,6.45
212292,32.68
201489,28.13
185133,24.51
368958,24.82
179521,72.29
208371,43.1
196044,44.58
126652,18.9
204557,22.81
168949,30.43
394526,17.99
184269,12.09
275307,10.9
337683,57.85
382861,61.37
421925,11.82
362247,76.92
311865,49.86
163478,19.6
188505,81.41
323430,40.93
224120,23.31
157498,17.1
289849,82.93
342349,23.86
294910,70.86
168452,43.71
372980,53.97
286793,61.29
164098,8.93
148435,14.92
296827,45.1
241661,16.21
304911,19.76
152333,82.66
211382,9.62
162721,43.55
232255,42.06
115037,23.33
296531,21.93
117917,51.52
222438,43.42
272182,86.58
166534,31.16
138382,47.85
242205,31.76
297904,31.2
322545,64.16
309977,25.31
202530,20.98
168365,16.95
163891,53.21
292316,52.92
194303,22.53
281175,21.02
417079,24.66
282242,22.16
395981,16.86
295000,71.19
163457,86.59
151957,25.68
236059,64.59
198149,40.87
275618,14.32
197091,19.22
291088,50.58
128469,28.07
356928,25.77
219505,50.63
434312,27.15
136567,21.46
219045,63.59
265812,17.68
246646,22.72
373335,51.16
417874,29.12
452651,22.13
238938,22.76
239660,34.73
329954,51.06
440680,55.73
103034,82.1
358541,9.35
419523,43.09
307917,73.8
442467,61.85
107816,42.62
336239,15.24
135307,28.62
295554,74.11
301046,47.48
170052,37.21
214382,49.89
375874,16.35
321571,32.6
274395,50.8
135195,48.81
114553,61.68
335844,31.63
180032,89.61
381525,46.44
158027,40.34
196645,8.81
239303,42.94
112933,16.36
143387,8.8
221279,12.4
314187,33.42
155030,24.5
350476,10.99
268786,14.83
406278,45.83
273039,78.9
175970,33.45
225424,32.29
393211,63.91
410986,15.25
240752,41.27
311363,71.01
249164,83.34
439272,82.44
335335,13.81
120837,27.7
397682,18.56
400904,51.08
387191,16.62
283469,26.83
305404,78.78
363868,32.18
432155,53.9
247480,69.44
435305,19.26
386646,34.62
187207,13.79
298549,40.01
209239,15.06
135952,43.69
430569,15.42
247838,14.49
337563,35.81
219747,25.22
137704,27.88
382972,35.33
145793,36.58
124366,63.74
309725,78.2
109832,20.14
343792,33.36
276339,57.9
453627,32.33
136880,49.69
188226,40.51
396738,33.5
227365,70.88
386433,70.55
437401,84.54
396812,10.18
150202,17.4
271869,32.66
400505,67.89
352831,60.48
421087,73.28
116577,28.63
369108,23.84
164769,61.23
110381,84.57
276095,34.84
138563,29.55
107433,34.14
171950,29.17
263269,16.72
364550,11.93
285010,51.01
422441,18.36
154615,30.77
152201,70.75
411319,36.3
181776,46.56
284749,45.19
245419,72.57
439715,88.13
413329,73.6
430495,70.42
130185,30.94
385748,31.95
380335,37.64
433301,22.17
135552,22.07
192647,27.61
119453,42.71
449042,19.33
451418,50.0
255660,14.82
388786,12.23
295617,36.49
124817,20.24
355321,9.19
310967,9.8
129915,55.08
175280,43.48
215225,74.48
388886,22.08
319030,59.15
382961,9.13
323240,51.98
284372,53.58
251818,47.12
268541,90.31
249652,30.74
185416,55.01
379545,30.55
132339,34.69
117615,30.17
321430,39.14
261962,76.19
354356,13.05
119359,17.44
419667,60.54
313824,29.42
252747,80.11
155377,33.95
366301,43.02
287033,27.16
319325,15.55
355533,57.41
311069,19.27
419980,21.82
270891,81.1
218895,41.21
244242,49.26
403469,20.88
150693,21.58
126575,14.96
253376,53.35
308222,51.75
277745,47.53
442926,32.53
416217,60.87
438136,13.13
181686,75.94
432168,88.93
424712,32.73
217124,16.03
125476,27.51
261183,26.59
359724,37.25
164583,44.53
431920,26.24
376556,41.44
133463,79.71
376773,28.26
282245,11.48
448288,24.64
392435,83.95
399982,67.12
180255,14.66
189597,16.17
275353,36.43
403301,82.8
427611,42.27
431247,27.84
401772,39.81
191461,80.23
120771,56.96
159597,58.77
316590,27.83
335802,81.4
352945,13.91
290494,16.53
360649,40.38
307458,76.66
204996,30.8
306027,24.76
237557,34.04
234305,87.15
311763,17.7
411589,72.24
287366,16.94
188716,70.62
215745,46.67
406204,17.89
385994,69.13
364879,3.3
131660,36.81
289094,31.43
351425,12.52
154647,13.05
149379,60.93
293553,51.31
375071,38.58
268839,74.88
266187,25.44
219372,38.22
251562,29.75
141135,28.86
127558,20.64
382220,27.77
258154,64.95
242906,57.93
212265,54.6
419959,19.57
364833,59.33
425048,65.44
171076,67.96
258556,34.88
115546,30.52
156425,15.96
433430,48.12
242579,87.7
277450,19.03
406907,15.98
438155,13.37
190048,30.43
289298,74.21
313173,45.41
339939,27.91
426260,29.71
221595,23.1
361787,77.38
376737,48.28
431797,35.43
451373,64.21
313488,21.62
181628,13.66
371968,63.33
192500,90.84
249982,21.34
203211,40.15
111055,48.27
170755,87.01
159742,24.36
368352,26.94
223523,31.89
431356,44.55
370195,17.24
191197,18.24
381956,14.74
302210,49.89
368757,20.26
289577,42.25
122098,43.2
347700,26.41
194902,49.91
229707,23.56
183254,21.43
205647,11.93
169441,82.92
218330,29.89
139047,27.15
264283,49.35
216462,55.86
335634,18.82
107612,21.73
214608,15.74
159890,89.36
320095,31.18
157732,22.68
261223,9.02
389510,70.96
315791,10.54
127130,43.08
334538,64.18
269783,33.46
382742,40.91
174696,12.48
137072,68.3
320431,9.41
125593,61.59
446716,69.74
449588,78.25
221247,18.32
365217,19.07
327088,37.78
153831,63.07
359340,51.81
435787,60.23
247574,27.74
219442,73.23
371231,27.3
251945,41.81
247644,91.48
358844,41.41
409471,63.72
133017,67.98
183779,37.96
105920,27.3
217689,38.34
134425,21.55
447840,14.88
210128,70.57
445537,64.07
220643,52.99
445817,58.58
317794,21.19
204165,27.58
241473,54.75
188923,43.53
214570,27.01
125248,11.81
275853,20.43
151727,14.34
232751,9.9
238006,63.47
430947,68.81
398195,76.05
291938,34.49
164737,32.14
173755,81.48
311164,34.12
430721,65.23
259527,22.67
205211,32.97
163469,38.97
353676,7.88
141455,47.76
126493,15.37
268369,16.67
390502,65.34
144794,24.01
424648,25.73
119128,82.81
256880,24.73
336402,21.65
423818,8.57
213621,28.96
141219,58.57
124837,20.88
308413,9.16
400073,84.04
319091,22.16
291905,55.33
403796,40.43
198621,39.05
120210,57.15
374875,65.49
126095,58.68
274588,60.72
190017,60.88
305610,18.52
351638,34.8
170780,51.51
282352,17.45
428997,23.73
158655,16.01
428863,64.58
240370,80.27
110818,40.77
134190,48.05
180600,15.59
282075,89.53
451231,77.9
204078,24.06
345768,26.48
254823,37.58
157396,77.45
255618,25.53
195996,21.86
436514,31.15
410188,37.23
271644,18.15
419872,18.96
242913,46.67
263976,9.28
176328,65.06
378141,38.86
193566,20.48
357642,30.0
129551,13.03
298676,50.1
322314,48.31
299297,45.71
318619,39.03
111640,83.7
303674,24.13
207282,41.93
280196,41.96
456012,19.94
454893,39.74
393993,22.67
238927,88.56
148743,51.37
299839,23.06
106593,82.0
130034,20.69
323927,20.03
355120,35.35
106306,77.6
407871,63.22
395277,46.81
190506,61.53
418718,58.28
392070,34.39
390450,53.95
326656,22.09
206554,38.5
437836,40.38
202651,34.67
199395,89.43
445699,15.15
147379,20.67
173176,48.35
106743,28.92
209837,18.13
277289,69.61
255491,7.33
175912,33.91
306082,88.04
352529,22.58
323608,9.67
253814,60.99
291961,33.87
328040,20.71
154977,20.18
346247,67.63
156936,59.53
430998,42.82
307490,38.87
422412,20.8
411996,57.23
242113,59.09
195356,15.11
443484,22.61
236166,40.5
184507,23.96
163115,37.52
235691,9.57
275830,91.37
247518,83.13
107860,34.76
350873,68.67
216354,70.93
236841,85.24
405688,27.41
179318,31.79
342732,62.96
114089,30.26
264598,39.38
381885,30.88
158137,49.21
135675,81.88
386447,53.95
246942,80.3
305304,22.59
269180,48.28
142998,52.72
176915,36.79
122306,25.63
439246,88.85
281614,24.13
394648,66.78
290108,19.69
301685,16.62
186486,71.18
318080,38.07
150081,50.64
282840,29.96
425248,23.9
358356,81.27
103350,15.38
331857,15.35
108646,78.27
273771,37.04
297733,13.39
437001,55.45
133181,61.62
117738,15.28
409181,23.51
412419,44.24
263899,42.76
335516,22.34
160576,24.11
381631,60.46
199851,17.62
251546,21.91
265853,32.11
220278,15.6
453469,14.64
242563,18.61
336126,17.42
210992,12.71
160385,67.02
433092,34.38
348496,34.04
382942,66.74
190092,22.39
387432,18.74
392007,34.11
238513,13.83
132665,58.88
402002,23.81
435064,24.91
115997,31.32
355616,24.48
282241,32.68
109602,45.09
339023,63.07
269301,57.85
435782,9.11
454292,33.3
146914,66.75
274449,70.05
232865,17.09
447300,55.47
316285,9.01
382917,25.83
240072,42.93
291485,77.9
382641,25.88
143585,25.56
131229,15.07
180168,24.85
437294,24.47
180443,70.28
137235,27.14
214216,72.29
229015,43.13
192713,82.66
334515,26.91
206067,14.63
375655,9.63
240560,31.31
136425,12.81
275702,39.53
234304,7.05
303136,39.19
322756,67.93
214464,19.51
265635,28.04
441514,29.5
144758,83.2
176652,11.74
202704,44.47
441958,33.51
327809,32.5
159675,60.15
130920,45.43
184821,25.84
434617,12.15
351955,25.0
197618,31.22
315729,74.08
422256,69.35
235228,59.61
399139,59.76
286603,22.29
280810,22.73
427882,36.09
289788,25.47
182986,25.5
170458,9.06
133910,75.34
322485,56.41
144078,39.02
251901,22.53
346454,15.4
137763,15.45
199587,38.66
345790,15.5
376190,41.87
322623,51.26
414687,17.5
436317,67.55
108259,63.22
212369,85.72
140122,60.23
215443,29.16
131876,61.38
419244,19.24
201971,32.81
229498,43.95
387635,38.06
369288,56.95
130744,49.74
310195,14.87
261091,84.22
345123,20.8
329061,27.36
244021,11.39
388724,59.4
239589,76.41
215259,17.43
316960,76.02
243429,78.29
125238,46.47
389274,72.42
381368,19.24
239875,22.75
400276,57.7
329963,10.43
387238,64.27
235956,8.62
308548,62.7
451672,36.28
309788,16.96
121167,25.24
159048,22.6
393745,61.38
343065,75.03
207954,58.08
124612,38.48
409458,58.9
106512,23.0
113886,51.65
239720,83.89
128515,10.36
183777,22.36
185879,83.02
275342,37.47
106815,69.09
400204,31.47
337806,11.14
121869,54.66
124515,59.83
434755,31.79
311651,11.05
343932,84.71
449330,57.7
415424,19.47
256651,16.6
204738,75.81
379889,89.77
318339,51.13
372299,47.09
184168,46.58
224769,44.62
426280,37.31
215899,21.27
158115,42.81
313589,57.34
232457,86.03
377522,19.22
176891,20.38
191040,26.73
218255,56.01
406411,36.46
420412,28.71
344981,65.02
171006,38.79
120990,29.04
339009,17.32
417707,62.53
223687,33.49
184755,30.12
132422,30.23
114120,61.99
381298,31.52
418412,59.5
432004,36.01
262375,37.57
240088,37.24
158871,34.02
400378,27.01
165088,59.46
361008,80.34
362689,33.77
338183,55.04
375705,39.29
119522,21.48
219141,28.35
196197,39.74
393590,68.26
333364,7.44
370171,13.42
355532,31.96
443038,8.7
175700,82.6
413420,17.71
450435,68.01
247048,15.8
449010,28.09
451547,22.53
435058,23.54
155545,68.93
334616,46.19
422937,15.73
428347,32.34
386872,13.49
173061,65.77
237191,17.39
336659,29.54
216005,40.3
396499,11.24
253364,53.22
438194,22.59
452939,50.54
171586,76.81
141111,81.99
326457,85.05
283569,15.84
204924,65.27
134047,24.86
222672,32.71
252822,70.4
262274,56.95
253725,86.67
143894,32.16
337085,53.5
269484,58.31
274995,23.3
270776,45.56
310796,44.73
370926,45.92
290025,33.4
387429,38.53
147576,51.36
148071,29.42
115654,7.95
447180,73.39
268113,88.16
376385,42.85
347758,58.78
100459,50.15
195398,65.88
177512,49.53
433894,38.77
174728,13.0
165457,12.03
422825,21.62
310384,57.71
446893,53.29
124523,44.13
372122,34.14
266000,67.98
355562,16.29
437242,22.94
445128,72.91
423068,15.05
381652,63.77
344091,23.32
146492,35.88
197528,80.07
373883,88.0
195666,38.71
141533,74.8
419727,32.65
146671,92.13
444388,85.15
436974,53.7
356600,30.11
355277,11.61
293369,16.05
130384,9.89
202840,51.14
409779,57.13
181907,54.49
118285,34.17
341957,20.23
178695,15.9
342466,86.16
274233,36.49
175273,32.73
424290,9.32
290026,51.49
249342,23.91
390616,39.57
109478,55.96
178548,52.14
378666,31.29
194508,36.29
115198,25.79
147996,39.08
159173,12.56
326685,20.9
351805,32.75
136511,29.57
391612,17.6
345125,12.44
356043,12.0
141006,13.23
106451,19.81
304569,55.62
108199,38.75
186078,73.62
237831,11.28
166062,34.59
117803,35.2
433260,56.93
310064,71.13
139491,37.07
194298,44.07
292085,40.05
125382,22.93
423919,23.67
449990,87.17
288788,72.25
188375,26.79
316105,78.68
246093,63.97
286745,43.33
240555,59.62
302782,20.01
208135,80.57
282893,14.1
274956,30.15
429145,25.39
133844,20.27
216298,36.7
371735,20.48
191307,39.81
392790,60.42
198164,42.63
126420,66.07
392670,21.6
428490,43.99
330120,12.1
319936,28.19
315576,18.73
116232,55.98
124193,22.95
354505,26.19
121060,45.89
108309,35.42
395849,14.43
414993,14.43
390848,24.64
217876,35.15
116767,12.36
365383,53.18
414154,43.0
292556,11.24
103933,17.77
391074,60.44
426374,46.48
373094,83.04
349839,25.32
236642,39.15
250257,24.65
444555,20.46
310345,21.84
382329,12.04
409164,58.93
250850,9.97
127770,53.77
293148,9.45
227773,30.15
375985,10.81
361716,62.86
354369,42.86
428713,26.16
167927,86.58
211323,29.61
396644,7.48
115422,73.78
197678,24.18
406676,60.24
156450,17.87
387181,14.44
355236,28.82
411683,58.95
449562,86.07
315520,23.48
228544,19.43
341346,68.82
185471,41.97
294482,63.29
311589,50.84
181846,34.34
233308,36.46
169909,10.0
267096,12.16
418151,68.14
242403,50.17
129672,35.04
187766,56.36
302937,18.26
146858,44.35
165950,18.31
187200,25.93
390820,21.87
105785,10.02
428704,10.08
406317,26.2
156892,36.16
283617,35.4
455380,21.68
175437,22.61
447943,15.54
275329,32.03
206302,81.12
251291,86.68
357217,55.31
145210,12.78
454645,31.78
448064,38.32
345895,62.64
158647,47.31
144488,32.52
262195,28.44
272428,18.95
101022,27.87
181303,47.73
335157,35.88
244621,62.94
201455,73.43
299484,12.47
262869,41.56
294587,39.67
204053,83.93
279024,72.24
336189,32.11
233762,13.31
187125,15.49
118815,73.33
330010,53.97
256332,62.41
292276,16.51
387485,45.43
270242,77.85
324951,82.74
144584,70.17
116114,40.43
422193,26.4
184478,31.79
250413,12.28
386105,29.88
298897,31.34
367488,57.94
252621,19.08
286335,32.88
236859,69.36
202100,31.0
118838,55.7
268440,14.59
265214,72.3
235237,18.59
366549,23.1
247626,15.34
215940,35.76
117858,32.01
291988,70.23
208332,33.35
416524,6.36
386461,26.38
128449,10.5
447974,68.4
148195,85.9
175444,47.66
250009,55.54
360024,47.06
438121,61.95
297832,16.94
230964,46.15
395310,48.71
248300,16.12
444088,58.15
304981,28.17
142514,21.26
139158,50.18
361176,16.93
185235,28.9
200026,31.81
436928,79.22
206691,41.78
157564,66.51
399117,35.37
331632,16.72
350814,51.54
289318,51.52
259061,69.16
321050,10.94
117735,39.63
169635,64.56
308508,54.45
409069,39.38
124126,18.0
442585,91.13
407461,47.22
292707,62.06
274654,27.06
441334,32.09
104968,72.66
356685,38.87
159162,82.17
123481,89.02
263905,51.61
144932,67.12
177137,85.67
429492,71.49
415289,78.65
160107,14.25
151901,21.79
347262,76.21
252064,7.38
331162,20.84
202605,56.87
424035,28.2
336040,9.76
167123,25.82
211257,29.35
264332,56.88
332748,8.32
200426,34.23
124009,57.05
103899,54.8
354155,65.54
214135,37.0
198349,14.42
141946,46.29
238126,54.36
234797,26.08
333666,35.07
101718,73.54
333586,46.37
247528,20.52
347372,34.08
372397,33.54
365912,20.54
396982,70.72
417020,38.06
406403,40.55
324831,78.06
328404,40.3
180757,49.29
255473,14.99
211011,67.85
280063,79.98
340211,32.7
268866,88.77
315825,70.05
104518,28.33
142687,19.92
147985,21.8
280519,33.69
142703,37.18
132921,47.24
414746,74.87
159313,33.16
277549,28.44
275687,34.58
135145,81.29
375213,22.52
114038,25.46
400179,15.44
355539,19.85
227757,25.1
369323,61.38
391509,57.96
314562,46.27
227528,51.78
194051,20.35
164941,23.44
430767,43.21
237860,37.66
290332,26.54
186211,11.06
376376,36.82
116310,76.48
437708,80.41
253396,10.25
413230,18.8
159969,32.79
193641,57.22
348487,70.14
115194,18.34
398302,10.41
207469,21.09
227397,51.53
323046,7.95
410889,54.55
376714,40.48
179454,79.89
219285,30.7
226508,12.08
287591,67.0
141910,12.99
251347,12.51
380242,71.85
100824,37.61
301927,33.41
100915,66.75
240998,28.04
116311,52.73
346995,62.3
249789,6.9
162088,13.2
357407,31.63
317571,73.38
239860,70.12
130883,17.61
285233,22.57
396909,20.35
127269,58.16
334849,35.13
247035,25.21
101201,61.01
347730,43.29
105429,79.59
252758,15.64
276606,10.42
271529,23.48
349788,29.51
177118,61.15
193155,32.64
431938,23.11
191487,81.51
445394,57.18
379807,21.3
128148,12.77
384826,5.63
243950,49.52
424810,34.21
291484,33.33
440822,32.64
451229,52.03
446869,34.55
170434,55.02
343880,19.07
217305,57.99
183910,49.62
361790,47.9
272074,75.25
368083,76.32
374421,54.26
257784,71.99
271732,46.13
184926,47.69
271590,45.13
211989,51.2
151439,10.87
279890,35.0
213452,51.12
111466,21.84
226709,35.03
340368,91.78
314825,60.21
304019,69.82
322275,15.06
431610,35.8
237972,17.51
349640,36.79
417511,63.68
241563,78.53
427614,56.18
201846,36.72
290042,58.98
452762,59.0
119100,13.34
156706,26.15
167582,19.43
223973,34.38
332112,39.87
306346,59.0
169312,42.01
170963,56.47
130085,59.74
111120,47.44
114870,46.62
385590,76.26
353987,20.84
272272,7.15
434155,44.78
159780,68.1
302289,43.71
280871,41.23
287767,36.66
168764,12.18
410603,14.87
123698,21.29
423421,59.24
287745,59.21
352441,35.32
355740,81.3
194961,35.29
229812,65.43
137029,77.95
399256,10.53
258635,16.38
454930,32.52
415808,15.11
241123,17.86
374308,77.74
294594,74.76
371630,61.66
183815,43.23
102133,67.06
120391,32.63
434972,19.63
178554,62.04
377215,23.03
231552,63.09
432458,79.63
425378,23.82
283181,57.99
390902,38.21
101113,20.64
454063,47.19
327006,30.84
236715,17.02
265630,43.22
101658,30.92
423164,59.77
409302,35.77
114975,42.6
165665,81.51
284188,21.62
213914,57.52
410805,9.32
439420,25.35
379526,26.09
444666,37.19
185717,11.0
439298,23.15
122397,11.0
449678,63.97
219542,25.93
401123,20.08
448846,55.9
270508,15.34
147045,46.69
299328,13.48
185765,17.75
422812,30.49
382357,45.12
382701,78.33
315835,70.75
418544,34.08
110666,9.22
131943,19.72
150692,30.83
250393,13.49
411647,45.58
164287,60.45
256132,35.5
451638,33.64
148646,25.69
309006,17.66
194215,29.79
320383,69.64
184737,18.98
209222,74.14
442048,25.47
454440,32.0
453870,63.11
132851,18.49
153365,21.5
384389,41.98
317512,43.33
128356,49.62
302649,45.49
160912,45.7
423500,6.83
143913,20.39
337927,42.96
298881,51.13
283200,26.62
115697,34.11
220937,59.35
359394,71.29
436413,65.1
302139,34.24
201669,51.87
164416,70.84
185267,11.21
338680,28.47
404983,44.35
345601,29.76
344884,36.13
199346,19.2
374350,58.08
355682,17.93
302890,13.47
267445,16.59
285014,41.43
416978,18.33
302104,49.64
350893,53.52
393228,81.19
281525,71.58
332325,35.02
286130,23.63
140471,40.67
139110,22.16
235011,36.96
402666,76.62
134973,13.28
379689,28.08
174931,62.99
351271,71.77
222652,24.52
453264,65.76
283903,43.1
208387,12.49
262656,56.95
226669,43.55
114983,20.7
186086,51.67
353864,44.82
201676,21.22
104397,20.72
200882,59.98
447179,60.19
195157,16.15
239094,41.02
235236,24.75
344001,30.0
313349,35.68
102399,80.16
171449,37.54
424562,9.88
132023,32.05
383061,38.55
240592,54.55
249748,36.03
107141,15.41
380357,75.84
326328,69.61
130025,37.21
118284,42.7
353047,73.53
440658,73.45
393521,16.16
152596,41.45
319482,30.06
132556,27.08
297322,80.6
281308,4.86
177131,9.98
194757,30.6
306024,71.53
236254,12.52
359796,21.33
133023,87.06
253411,60.2
229191,19.22
140481,74.37
149603,42.84
224129,47.6
218787,18.68
191775,13.1
276208,22.11
370595,6.72
455967,17.46
185327,73.04
219604,72.17
373091,58.42
108215,58.4
446240,25.65
171472,74.1
260470,54.74
346177,30.87
225169,44.06
236866,18.35
269930,21.21
220433,26.99
117223,65.89
108434,78.25
103341,42.89
353558,7.63
286259,17.08
226223,24.82
138565,16.09
252505,15.96
270288,43.78
150615,16.09
168815,34.74
270556,58.58
398361,38.15
437691,15.32
329600,52.18
107431,42.8
273150,25.48
171848,33.33
321857,24.41
326898,15.77
364805,26.87
234600,28.55
357736,50.64
352112,76.41
169795,14.58
176886,71.44
293255,30.71
337124,56.92
440549,74.3
107545,26.55
253460,58.05
112830,18.49
414032,30.83
347355,40.83
342051,43.71
389708,45.87
266450,20.8
227171,46.66
367689,41.37
423064,72.83
223233,66.31
225012,58.22
411922,10.64
194807,77.79
393674,15.0
428149,67.4
445089,42.58
427533,8.11
347937,31.79
418765,57.01
424503,66.51
127086,69.95
271155,9.74
149561,22.29
383137,6.0
230957,25.54
129972,23.7
323119,39.52
169789,14.53
145776,25.27
236125,72.88
410953,19.99
102533,30.86
443649,22.93
109552,10.51
440751,26.74
317491,25.74
190247,44.77
443469,69.18
366737,91.47
295612,14.97
109028,90.49
400682,11.85
106551,41.33
242199,85.44
435601,44.31
212457,50.65
405969,73.05
296646,11.64
372607,27.37
320479,18.59
319130,82.31
271513,41.22
261701,31.49
205722,11.63
380613,31.8
261875,21.5
132241,28.83
445762,63.29
385406,68.66
103955,40.76
147027,20.42
172579,58.92
388860,22.83
274185,15.46
184581,88.75
293783,25.9
172928,16.27
454877,78.3
125733,15.4
226169,16.83
335649,33.93
418399,16.53
225905,58.79
165169,55.07
339607,27.96
127631,38.11
276935,30.06
371107,35.81
278097,64.01
171886,26.22
211214,21.79
222533,38.48
293887,46.02
171912,26.77
322530,9.68
388050,50.75
191983,61.14
229391,14.88
217857,26.83
301025,68.42
152670,34.49
338653,30.15
173068,16.03
328540,67.45
216019,24.17
275704,38.89
343143,38.47
229976,40.0
202774,21.32
234826,33.83
164937,53.34
136649,43.19
281182,44.4
212512,17.7
131803,58.05
193881,31.95
300873,68.75
433114,14.26
204170,22.67
206138,38.42
411286,15.39
287170,69.0
196891,21.07
334637,79.9
145963,78.67
143405,49.13
432685,68.64
373570,52.57
102209,5.63
339132,77.32
263304,52.98
155004,63.26
401877,79.28
433315,82.17
131768,31.78
258191,76.29
215729,15.04
114448,38.19
138410,72.6
244506,83.59
113312,71.95
130052,30.91
302196,35.09
306640,16.22
436734,52.08
305617,40.66
204552,44.36
393280,30.92
241500,31.56
431443,36.02
271438,21.26
115181,16.46
114386,23.89
202372,19.49
193571,54.33
432843,67.61
373277,46.01
163356,50.15
260183,22.49
440763,59.34
377193,11.51
237733,51.39
219317,22.69
178273,45.06
273547,53.67
254991,20.66
291804,21.67
230029,65.88
137141,47.07
237372,28.06
397834,39.95
226619,34.23
335969,51.2
336612,17.93
450392,16.59
120033,21.77
112893,47.97
293581,32.18
168066,32.52
275559,13.74
296380,60.39
290797,28.11
442236,45.34
396015,33.56
182385,30.44
266955,48.08
295910,32.86
108269,45.5
121980,42.05
449560,26.57
290006,50.18
444913,67.76
285946,23.37
330130,23.47
210049,47.8
337311,25.82
317768,76.39
140738,35.09
375668,43.04
295654,47.98
438766,40.83
238671,81.62
414851,52.04
414150,30.94
373172,56.09
347826,51.2
216883,43.09
139881,24.84
278335,63.34
369095,42.97
141962,27.2
286017,45.5
448032,10.38
366757,10.63
218616,72.72
282634,21.31
265536,84.13
451835,16.97
236369,64.11
385000,65.25
304739,29.53
122293,67.01
273408,55.9
242407,12.41
109130,13.2
242042,13.37
228578,25.64
235284,22.46
105919,53.78
250296,22.91
135782,64.41
389445,36.85
343043,81.33
325371,47.46
310087,14.65
241902,66.08
171075,14.1
294278,26.69
331493,88.44
265547,15.28
350879,13.26
135484,14.53
195410,22.68
425478,42.27
399868,51.23
255485,31.7
284514,16.02
361587,83.04
154585,56.6
158111,16.68
337637,40.13
125586,20.29
320584,50.57
192538,12.05
433093,64.3
277971,28.8
362850,50.39
122181,24.36
433354,38.32
143519,48.41
107781,33.64
282914,39.74
168505,80.21
444543,62.1
397019,35.55
171021,67.51
373701,23.12
251409,88.67
265099,25.39
200865,64.74
167543,20.6
298249,38.37
294550,30.34
202453,7.4
238072,10.05
203053,12.01
370643,60.89
243869,35.13
350228,61.42
397505,47.87
299506,16.85
339434,35.59
333694,25.81
333665,21.95
283916,56.88
269422,76.03
270274,26.12
381210,26.06
437081,55.03
434413,58.65
127164,31.63
155506,46.22
133119,49.85
298667,13.64
302582,14.78
375882,18.53
253154,7.9
199264,81.11
441112,33.92
227607,15.96
309989,37.12
133613,60.25
189750,68.87
382652,10.0
235663,41.68
404936,30.84
270940,47.02
248880,35.82
262349,7.58
449673,64.69
372526,38.84
133827,27.7
366812,27.13
389117,20.22
201114,42.92
124227,30.85
183553,34.46
310653,14.2
201981,39.1
213614,31.39
319375,10.1
255037,28.64
283406,49.08
201590,68.33
341433,12.46
345980,25.96
414209,55.9
444604,29.56
390704,16.88
198266,19.92
